City,Filing_Method,Marital_Status,Children_or_No_Children_Status,Age_Range,Count_of_Tax_Filers
Thompson ,Efile,Married or Living common-law,With Children Declared,19 - 25,100
Thompson ,Paper,Married or Living common-law,No Children Declared,26 - 64,120
Thompson ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,140
Thompson ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,200
Thompson ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,210
Thompson ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,270
Thompson ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,300
Thompson ,Efile,Married or Living common-law,No Children Declared,65 and Older,370
Thompson ,Netfile,Married or Living common-law,No Children Declared,26 - 64,470
Thompson ,Netfile,Married or Living common-law,With Children Declared,26 - 64,570
Thompson ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,600
Thompson ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,640
Thompson ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1310
Thompson ,Efile,Married or Living common-law,No Children Declared,26 - 64,1580
Thompson ,Efile,Married or Living common-law,With Children Declared,26 - 64,1760
Thunder Bay ,Paper,Married or Living common-law,No Children Declared,18 and Under,0
Thunder Bay ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Thunder Bay ,Paper,Unstated,No Children Declared,18 and Under,0
Thunder Bay ,Paper,Unstated,No Children Declared,19 - 25,0
Thunder Bay ,Paper,Unstated,With Children Declared,26 - 64,0
Thunder Bay ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Thunder Bay ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Thunder Bay ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Thunder Bay ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Thunder Bay ,Paper,Married or Living common-law,With Children Declared,65 and Older,10
Thunder Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,10
Thunder Bay ,Paper,Married or Living common-law,With Children Declared,19 - 25,20
Thunder Bay ,Netfile,Married or Living common-law,With Children Declared,65 and Older,20
Thunder Bay ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Thunder Bay ,Paper,Married or Living common-law,No Children Declared,19 - 25,40
Thunder Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,40
Thunder Bay ,Paper,Unstated,No Children Declared,26 - 64,50
Thunder Bay ,Paper,Unstated,No Children Declared,65 and Older,50
Thunder Bay ,Efile,Married or Living common-law,With Children Declared,65 and Older,70
Thunder Bay ,Netfile,Married or Living common-law,With Children Declared,19 - 25,120
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,120
Thunder Bay ,Netfile,Married or Living common-law,No Children Declared,19 - 25,250
Thunder Bay ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,290
Thunder Bay ,Efile,Married or Living common-law,With Children Declared,19 - 25,290
Thunder Bay ,Efile,Married or Living common-law,No Children Declared,19 - 25,300
Thunder Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,330
Thunder Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,460
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,740
Thunder Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,760
Thunder Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,1000
Thunder Bay ,Paper,Married or Living common-law,With Children Declared,26 - 64,1040
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1300
Thunder Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2000
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2280
Thunder Bay ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,2300
Thunder Bay ,Paper,Married or Living common-law,No Children Declared,65 and Older,2460
Thunder Bay ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2520
Thunder Bay ,Paper,Married or Living common-law,No Children Declared,26 - 64,2540
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,3660
Thunder Bay ,Netfile,Married or Living common-law,No Children Declared,65 and Older,3760
Thunder Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,3990
Thunder Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,5570
Thunder Bay ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,6540
Thunder Bay ,Netfile,Married or Living common-law,With Children Declared,26 - 64,6980
Thunder Bay ,Efile,Married or Living common-law,With Children Declared,26 - 64,7180
Thunder Bay ,Efile,Married or Living common-law,No Children Declared,65 and Older,7210
Thunder Bay ,Netfile,Married or Living common-law,No Children Declared,26 - 64,8550
Thunder Bay ,Efile,Married or Living common-law,No Children Declared,26 - 64,8870
Thunder Bay ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,8950
Tillsonburg ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
Tillsonburg ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Tillsonburg ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Tillsonburg ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,0
Tillsonburg ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Tillsonburg ,Paper,Unstated,No Children Declared,26 - 64,0
Tillsonburg ,Paper,Unstated,No Children Declared,65 and Older,0
Tillsonburg ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Tillsonburg ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Tillsonburg ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Tillsonburg ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Tillsonburg ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Tillsonburg ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Tillsonburg ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,20
Tillsonburg ,Netfile,Married or Living common-law,With Children Declared,19 - 25,20
Tillsonburg ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,30
Tillsonburg ,Netfile,Married or Living common-law,No Children Declared,19 - 25,30
Tillsonburg ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Tillsonburg ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,40
Tillsonburg ,Efile,Married or Living common-law,With Children Declared,19 - 25,50
Tillsonburg ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,60
Tillsonburg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,70
Tillsonburg ,Efile,Married or Living common-law,No Children Declared,19 - 25,80
Tillsonburg ,Paper,Married or Living common-law,With Children Declared,26 - 64,100
Tillsonburg ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,160
Tillsonburg ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,160
Tillsonburg ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,180
Tillsonburg ,Paper,Married or Living common-law,No Children Declared,26 - 64,200
Tillsonburg ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,220
Tillsonburg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,260
Tillsonburg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,280
Tillsonburg ,Paper,Married or Living common-law,No Children Declared,65 and Older,310
Tillsonburg ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,320
Tillsonburg ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,540
Tillsonburg ,Netfile,Married or Living common-law,No Children Declared,65 and Older,550
Tillsonburg ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,600
Tillsonburg ,Netfile,Married or Living common-law,With Children Declared,26 - 64,710
Tillsonburg ,Netfile,Married or Living common-law,No Children Declared,26 - 64,770
Tillsonburg ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1090
Tillsonburg ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1220
Tillsonburg ,Efile,Married or Living common-law,With Children Declared,26 - 64,1260
Tillsonburg ,Efile,Married or Living common-law,No Children Declared,26 - 64,1470
Tillsonburg ,Efile,Married or Living common-law,No Children Declared,65 and Older,1830
Timmins ,Paper,Married or Living common-law,No Children Declared,19 - 25,0
Timmins ,Paper,Married or Living common-law,With Children Declared,19 - 25,0
Timmins ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Timmins ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Timmins ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Timmins ,Paper,Unstated,No Children Declared,19 - 25,0
Timmins ,Paper,Unstated,No Children Declared,26 - 64,0
Timmins ,Paper,Unstated,With Children Declared,26 - 64,0
Timmins ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Timmins ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Timmins ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Timmins ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Timmins ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Timmins ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Timmins ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
Timmins ,Paper,Unstated,No Children Declared,65 and Older,20
Timmins ,Efile,Married or Living common-law,With Children Declared,65 and Older,20
Timmins ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,60
Timmins ,Netfile,Married or Living common-law,With Children Declared,19 - 25,70
Timmins ,Netfile,Married or Living common-law,No Children Declared,19 - 25,80
Timmins ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,90
Timmins ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,150
Timmins ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,160
Timmins ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,170
Timmins ,Efile,Married or Living common-law,No Children Declared,19 - 25,200
Timmins ,Efile,Married or Living common-law,With Children Declared,19 - 25,210
Timmins ,Paper,Married or Living common-law,With Children Declared,26 - 64,220
Timmins ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,250
Timmins ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,400
Timmins ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,410
Timmins ,Paper,Married or Living common-law,No Children Declared,65 and Older,430
Timmins ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,550
Timmins ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,550
Timmins ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,580
Timmins ,Paper,Married or Living common-law,No Children Declared,26 - 64,590
Timmins ,Netfile,Married or Living common-law,No Children Declared,65 and Older,760
Timmins ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,890
Timmins ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1120
Timmins ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1660
Timmins ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1720
Timmins ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2020
Timmins ,Netfile,Married or Living common-law,With Children Declared,26 - 64,2150
Timmins ,Efile,Married or Living common-law,No Children Declared,65 and Older,2370
Timmins ,Netfile,Married or Living common-law,No Children Declared,26 - 64,2410
Timmins ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,3650
Timmins ,Efile,Married or Living common-law,With Children Declared,26 - 64,3710
Timmins ,Efile,Married or Living common-law,No Children Declared,26 - 64,4890
Toronto ,Paper,Unstated,With Children Declared,19 - 25,0
Toronto ,Paper,Unstated,With Children Declared,65 and Older,0
Toronto ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Toronto ,Netfile,Unstated,No Children Declared,26 - 64,0
Toronto ,Netfile,Unstated,With Children Declared,26 - 64,0
Toronto ,Efile,Unstated,No Children Declared,26 - 64,0
Toronto ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,10
Toronto ,Netfile,Married or Living common-law,No Children Declared,18 and Under,10
Toronto ,Paper,Married or Living common-law,No Children Declared,18 and Under,20
Toronto ,Efile,Married or Living common-law,With Children Declared,18 and Under,20
Toronto ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,60
Toronto ,Efile,Married or Living common-law,No Children Declared,18 and Under,70
Toronto ,Paper,Unstated,No Children Declared,18 and Under,80
Toronto ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,90
Toronto ,Paper,Unstated,With Children Declared,26 - 64,140
Toronto ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,160
Toronto ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,170
Toronto ,Paper,Unstated,No Children Declared,19 - 25,250
Toronto ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,570
Toronto ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,610
Toronto ,Paper,Married or Living common-law,With Children Declared,65 and Older,660
Toronto ,Paper,Married or Living common-law,With Children Declared,19 - 25,670
Toronto ,Netfile,Married or Living common-law,With Children Declared,65 and Older,770
Toronto ,Paper,Unstated,No Children Declared,65 and Older,1210
Toronto ,Paper,Unstated,No Children Declared,26 - 64,1370
Toronto ,Netfile,Married or Living common-law,With Children Declared,19 - 25,1450
Toronto ,Paper,Married or Living common-law,No Children Declared,19 - 25,2040
Toronto ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,2160
Toronto ,Efile,Married or Living common-law,With Children Declared,65 and Older,2920
Toronto ,Netfile,Married or Living common-law,No Children Declared,19 - 25,4870
Toronto ,Efile,Married or Living common-law,With Children Declared,19 - 25,5230
Toronto ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,5510
Toronto ,Efile,Married or Living common-law,No Children Declared,19 - 25,11960
Toronto ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,13480
Toronto ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,17810
Toronto ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,18840
Toronto ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,34630
Toronto ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,47560
Toronto ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,64600
Toronto ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,65990
Toronto ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,68950
Toronto ,Paper,Married or Living common-law,With Children Declared,26 - 64,84450
Toronto ,Paper,Married or Living common-law,No Children Declared,65 and Older,85190
Toronto ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,105660
Toronto ,Netfile,Married or Living common-law,No Children Declared,65 and Older,112460
Toronto ,Paper,Married or Living common-law,No Children Declared,26 - 64,112840
Toronto ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,114650
Toronto ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,128930
Toronto ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,209540
Toronto ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,256140
Toronto ,Netfile,Married or Living common-law,No Children Declared,26 - 64,262910
Toronto ,Netfile,Married or Living common-law,With Children Declared,26 - 64,282320
Toronto ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,282670
Toronto ,Efile,Married or Living common-law,No Children Declared,65 and Older,290480
Toronto ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,481070
Toronto ,Efile,Married or Living common-law,No Children Declared,26 - 64,546910
Toronto ,Efile,Married or Living common-law,With Children Declared,26 - 64,636670
Trois-Rivières ,Paper,Married or Living common-law,No Children Declared,18 and Under,0
Trois-Rivières ,Paper,Married or Living common-law,With Children Declared,18 and Under,0
Trois-Rivières ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Trois-Rivières ,Paper,Unstated,No Children Declared,18 and Under,0
Trois-Rivières ,Paper,Unstated,With Children Declared,19 - 25,0
Trois-Rivières ,Paper,Unstated,With Children Declared,65 and Older,0
Trois-Rivières ,Netfile,Married or Living common-law,No Children Declared,18 and Under,0
Trois-Rivières ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Trois-Rivières ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Trois-Rivières ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Trois-Rivières ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Trois-Rivières ,Paper,Unstated,No Children Declared,19 - 25,10
Trois-Rivières ,Paper,Unstated,With Children Declared,26 - 64,10
Trois-Rivières ,Netfile,Married or Living common-law,With Children Declared,65 and Older,10
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
Trois-Rivières ,Paper,Married or Living common-law,With Children Declared,65 and Older,20
Trois-Rivières ,Efile,Married or Living common-law,With Children Declared,65 and Older,50
Trois-Rivières ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,60
Trois-Rivières ,Paper,Married or Living common-law,With Children Declared,19 - 25,80
Trois-Rivières ,Paper,Married or Living common-law,No Children Declared,19 - 25,100
Trois-Rivières ,Paper,Unstated,No Children Declared,26 - 64,100
Trois-Rivières ,Paper,Unstated,No Children Declared,65 and Older,100
Trois-Rivières ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,100
Trois-Rivières ,Netfile,Married or Living common-law,With Children Declared,19 - 25,150
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,180
Trois-Rivières ,Netfile,Married or Living common-law,No Children Declared,19 - 25,370
Trois-Rivières ,Efile,Married or Living common-law,With Children Declared,19 - 25,380
Trois-Rivières ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,510
Trois-Rivières ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,540
Trois-Rivières ,Efile,Married or Living common-law,No Children Declared,19 - 25,620
Trois-Rivières ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,770
Trois-Rivières ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1270
Trois-Rivières ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,1310
Trois-Rivières ,Paper,Married or Living common-law,With Children Declared,26 - 64,1680
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,1830
Trois-Rivières ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2960
Trois-Rivières ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,3160
Trois-Rivières ,Paper,Married or Living common-law,No Children Declared,65 and Older,3240
Trois-Rivières ,Paper,Married or Living common-law,No Children Declared,26 - 64,3260
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,3500
Trois-Rivières ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,3770
Trois-Rivières ,Netfile,Married or Living common-law,No Children Declared,65 and Older,3990
Trois-Rivières ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,4940
Trois-Rivières ,Netfile,Married or Living common-law,With Children Declared,26 - 64,5690
Trois-Rivières ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,6150
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,6180
Trois-Rivières ,Netfile,Married or Living common-law,No Children Declared,26 - 64,7390
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,8790
Trois-Rivières ,Efile,Married or Living common-law,No Children Declared,65 and Older,11020
Trois-Rivières ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,12460
Trois-Rivières ,Efile,Married or Living common-law,With Children Declared,26 - 64,12730
Trois-Rivières ,Efile,Married or Living common-law,No Children Declared,26 - 64,16060
Truro ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Truro ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Truro ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Truro ,Paper,Unstated,No Children Declared,18 and Under,0
Truro ,Paper,Unstated,No Children Declared,19 - 25,0
Truro ,Paper,Unstated,With Children Declared,18 and Under,0
Truro ,Paper,Unstated,With Children Declared,26 - 64,0
Truro ,Netfile,Married or Living common-law,With Children Declared,18 and Under,0
Truro ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Truro ,Netfile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Truro ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Truro ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Truro ,Paper,Married or Living common-law,With Children Declared,19 - 25,10
Truro ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,10
Truro ,Paper,Married or Living common-law,No Children Declared,19 - 25,20
Truro ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,20
Truro ,Paper,Unstated,No Children Declared,65 and Older,20
Truro ,Paper,Unstated,No Children Declared,26 - 64,30
Truro ,Efile,Married or Living common-law,With Children Declared,65 and Older,30
Truro ,Netfile,Married or Living common-law,No Children Declared,19 - 25,70
Truro ,Netfile,Married or Living common-law,With Children Declared,19 - 25,70
Truro ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,90
Truro ,Efile,Married or Living common-law,With Children Declared,19 - 25,100
Truro ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,100
Truro ,Efile,Married or Living common-law,No Children Declared,19 - 25,110
Truro ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,190
Truro ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,200
Truro ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,260
Truro ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,310
Truro ,Paper,Married or Living common-law,With Children Declared,26 - 64,380
Truro ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,430
Truro ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,590
Truro ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,650
Truro ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,830
Truro ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,960
Truro ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1040
Truro ,Paper,Married or Living common-law,No Children Declared,26 - 64,1050
Truro ,Netfile,Married or Living common-law,No Children Declared,65 and Older,1050
Truro ,Paper,Married or Living common-law,No Children Declared,65 and Older,1110
Truro ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1180
Truro ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1640
Truro ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2010
Truro ,Netfile,Married or Living common-law,With Children Declared,26 - 64,2200
Truro ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,2280
Truro ,Netfile,Married or Living common-law,No Children Declared,26 - 64,2370
Truro ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,3060
Truro ,Efile,Married or Living common-law,With Children Declared,26 - 64,3310
Truro ,Efile,Married or Living common-law,No Children Declared,65 and Older,3460
Truro ,Efile,Married or Living common-law,No Children Declared,26 - 64,4290
Val-d'Or ,Paper,Married or Living common-law,With Children Declared,65 and Older,0
Val-d'Or ,Paper,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Val-d'Or ,Paper,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Val-d'Or ,Paper,Unstated,No Children Declared,18 and Under,0
Val-d'Or ,Paper,Unstated,No Children Declared,19 - 25,0
Val-d'Or ,Paper,Unstated,With Children Declared,26 - 64,0
Val-d'Or ,Netfile,Married or Living common-law,With Children Declared,65 and Older,0
Val-d'Or ,Netfile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Val-d'Or ,Efile,Married or Living common-law,No Children Declared,18 and Under,0
Val-d'Or ,Efile,Married or Living common-law,With Children Declared,18 and Under,0
Val-d'Or ,Efile,Married or Living common-law,With Children Declared,65 and Older,0
Val-d'Or ,Efile,"Single, divorced, separated or widowed",With Children Declared,18 and Under,0
Val-d'Or ,Efile,"Single, divorced, separated or widowed",With Children Declared,65 and Older,0
Val-d'Or ,Paper,"Single, divorced, separated or widowed",With Children Declared,19 - 25,10
Val-d'Or ,Paper,Married or Living common-law,With Children Declared,19 - 25,20
Val-d'Or ,Paper,Unstated,No Children Declared,26 - 64,20
Val-d'Or ,Paper,Unstated,No Children Declared,65 and Older,20
Val-d'Or ,Paper,Married or Living common-law,No Children Declared,19 - 25,30
Val-d'Or ,Netfile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,30
Val-d'Or ,Netfile,Married or Living common-law,With Children Declared,19 - 25,60
Val-d'Or ,Efile,"Single, divorced, separated or widowed",With Children Declared,19 - 25,80
Val-d'Or ,Netfile,Married or Living common-law,No Children Declared,19 - 25,100
Val-d'Or ,Netfile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,180
Val-d'Or ,Efile,Married or Living common-law,With Children Declared,19 - 25,180
Val-d'Or ,Efile,Married or Living common-law,No Children Declared,19 - 25,190
Val-d'Or ,Paper,"Single, divorced, separated or widowed",No Children Declared,18 and Under,210
Val-d'Or ,Paper,"Single, divorced, separated or widowed",With Children Declared,26 - 64,210
Val-d'Or ,Netfile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,300
Val-d'Or ,Paper,"Single, divorced, separated or widowed",No Children Declared,19 - 25,380
Val-d'Or ,Efile,"Single, divorced, separated or widowed",No Children Declared,18 and Under,460
Val-d'Or ,Netfile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,510
Val-d'Or ,Paper,"Single, divorced, separated or widowed",No Children Declared,65 and Older,640
Val-d'Or ,Netfile,Married or Living common-law,No Children Declared,65 and Older,650
Val-d'Or ,Efile,"Single, divorced, separated or widowed",With Children Declared,26 - 64,670
Val-d'Or ,Paper,Married or Living common-law,No Children Declared,65 and Older,680
Val-d'Or ,Netfile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,680
Val-d'Or ,Paper,Married or Living common-law,With Children Declared,26 - 64,730
Val-d'Or ,Efile,"Single, divorced, separated or widowed",No Children Declared,19 - 25,1150
Val-d'Or ,Paper,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1190
Val-d'Or ,Netfile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,1190
Val-d'Or ,Efile,"Single, divorced, separated or widowed",No Children Declared,65 and Older,1200
Val-d'Or ,Paper,Married or Living common-law,No Children Declared,26 - 64,1240
Val-d'Or ,Netfile,Married or Living common-law,With Children Declared,26 - 64,1510
Val-d'Or ,Efile,Married or Living common-law,No Children Declared,65 and Older,1540
Val-d'Or ,Netfile,Married or Living common-law,No Children Declared,26 - 64,1680
Val-d'Or ,Efile,"Single, divorced, separated or widowed",No Children Declared,26 - 64,2310
