CMA_or_CA,Filing_Method,Major_Source_of_Income,Total_Income_Range,Complexity,Count_of_Taxfilers
Sept-Îles CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Sept-Îles CA,Paper,Other,"$100,000 and Above",Complex,0
Sept-Îles CA,Paper,Other,"$100,000 and Above",Simple,0
Sept-Îles CA,Paper,Pension,"$100,000 and Above",Simple,0
Sept-Îles CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Sept-Îles CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Sept-Îles CA,Netfile,Investment,"Less than $25,000",Complex,0
Sept-Îles CA,Netfile,Investment,"Less than $25,000",Simple,0
Sept-Îles CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,0
Sept-Îles CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,0
Sept-Îles CA,Netfile,Other,"Between $50,000 and $99,999",Complex,0
Sept-Îles CA,Netfile,Other,"$100,000 and Above",Complex,0
Sept-Îles CA,Netfile,Other,"$100,000 and Above",Simple,0
Sept-Îles CA,Netfile,Pension,"$100,000 and Above",Complex,0
Sept-Îles CA,Netfile,Pension,"$100,000 and Above",Simple,0
Sept-Îles CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,0
Sept-Îles CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,0
Sept-Îles CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Sept-Îles CA,Efile,No income,"Less than $25,000",Complex,0
Sept-Îles CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Sept-Îles CA,Efile,Multiple sources of income,"Less than $25,000",Simple,0
Shawinigan CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"3,960"
Shawinigan CA,Efile,Pension,"Less than $25,000",Simple,"3,810"
Shawinigan CA,Efile,Employment,"Less than $25,000",Simple,"3,190"
Shawinigan CA,Efile,Pension,"Between $25,000 and $49,999",Simple,"2,410"
Shawinigan CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"2,270"
Shawinigan CA,Efile,Other,"Less than $25,000",Simple,"2,150"
Shawinigan CA,Paper,Other,"Less than $25,000",Simple,"2,050"
Shawinigan CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,870"
Shawinigan CA,Paper,Pension,"Less than $25,000",Simple,"1,760"
Shawinigan CA,Netfile,Pension,"Less than $25,000",Simple,"1,290"
Shawinigan CA,Netfile,Employment,"Less than $25,000",Simple,"1,250"
Shawinigan CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,200"
Shawinigan CA,Netfile,Other,"Less than $25,000",Simple,"1,030"
Shawinigan CA,Paper,Employment,"Between $25,000 and $49,999",Simple,"1,020"
Shawinigan CA,Efile,Pension,"Between $25,000 and $49,999",Complex,990
Shawinigan CA,Efile,Employment,"Between $25,000 and $49,999",Complex,940
Shawinigan CA,Efile,Employment,"Between $50,000 and $99,999",Complex,890
Shawinigan CA,Efile,Pension,"Less than $25,000",Complex,890
Shawinigan CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,870
Shawinigan CA,Paper,Employment,"Less than $25,000",Simple,830
Shawinigan CA,Paper,Pension,"Between $25,000 and $49,999",Simple,830
Shawinigan CA,Efile,Pension,"Between $50,000 and $99,999",Simple,680
Shawinigan CA,Efile,Pension,"Between $50,000 and $99,999",Complex,530
Shawinigan CA,Efile,Self-employment,"Less than $25,000",Complex,530
Shawinigan CA,Paper,Employment,"Between $50,000 and $99,999",Simple,480
Shawinigan CA,Efile,Employment,"Less than $25,000",Complex,390
Shawinigan CA,Paper,Pension,"Less than $25,000",Complex,360
Shawinigan CA,Efile,No income,"Less than $25,000",Simple,350
Shawinigan CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,310
Shawinigan CA,Efile,Employment,"$100,000 and Above",Simple,290
Shawinigan CA,Efile,Other,"Less than $25,000",Complex,290
Shawinigan CA,Efile,Other,"Between $25,000 and $49,999",Simple,290
Shawinigan CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,280
Shawinigan CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,270
Shawinigan CA,Efile,Employment,"$100,000 and Above",Complex,250
Shawinigan CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,240
Shawinigan CA,Paper,Pension,"Between $50,000 and $99,999",Simple,220
Shawinigan CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,220
Shawinigan CA,Paper,Pension,"Between $25,000 and $49,999",Complex,210
Shawinigan CA,Paper,Other,"Less than $25,000",Complex,200
Shawinigan CA,Efile,Investment,"Between $50,000 and $99,999",Complex,190
Shawinigan CA,Paper,Employment,"Between $25,000 and $49,999",Complex,180
Shawinigan CA,Netfile,Pension,"Less than $25,000",Complex,170
Shawinigan CA,Efile,Investment,"$100,000 and Above",Complex,170
Shawinigan CA,Efile,Investment,"Between $25,000 and $49,999",Complex,160
Shawinigan CA,Efile,Investment,"Less than $25,000",Complex,150
Shawinigan CA,Paper,Employment,"Between $50,000 and $99,999",Complex,140
Shawinigan CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,140
Shawinigan CA,Netfile,Self-employment,"Less than $25,000",Complex,140
Shawinigan CA,Paper,No income,"Less than $25,000",Simple,130
Shawinigan CA,Paper,Employment,"Less than $25,000",Complex,130
Shawinigan CA,Netfile,Employment,"$100,000 and Above",Simple,130
Shawinigan CA,Efile,Other,"Between $25,000 and $49,999",Complex,130
Shawinigan CA,Netfile,No income,"Less than $25,000",Simple,120
Shawinigan CA,Netfile,Employment,"Less than $25,000",Complex,120
Shawinigan CA,Netfile,Other,"Between $25,000 and $49,999",Simple,120
Shawinigan CA,Paper,Pension,"Between $50,000 and $99,999",Complex,110
Shawinigan CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,100
Shawinigan CA,Netfile,Other,"Less than $25,000",Complex,90
Shawinigan CA,Efile,Self-employment,"$100,000 and Above",Complex,90
Shawinigan CA,Paper,Self-employment,"Less than $25,000",Complex,80
Shawinigan CA,Paper,Other,"Between $25,000 and $49,999",Simple,70
Shawinigan CA,Efile,Other,"Between $50,000 and $99,999",Simple,70
Shawinigan CA,Paper,Employment,"$100,000 and Above",Simple,60
Shawinigan CA,Netfile,Employment,"$100,000 and Above",Complex,60
Shawinigan CA,Efile,Pension,"$100,000 and Above",Complex,60
Shawinigan CA,Efile,Other,"Between $50,000 and $99,999",Complex,50
Shawinigan CA,Efile,Other,"$100,000 and Above",Simple,50
Shawinigan CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,40
Shawinigan CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,40
Shawinigan CA,Efile,Investment,"Less than $25,000",Simple,40
Shawinigan CA,Efile,Other,"$100,000 and Above",Complex,40
Shawinigan CA,Paper,Employment,"$100,000 and Above",Complex,30
Shawinigan CA,Paper,Investment,"Less than $25,000",Complex,30
Shawinigan CA,Paper,Investment,"Less than $25,000",Simple,30
Shawinigan CA,Paper,Investment,"Between $50,000 and $99,999",Complex,30
Shawinigan CA,Netfile,Other,"Between $25,000 and $49,999",Complex,30
Shawinigan CA,Netfile,Other,"Between $50,000 and $99,999",Simple,30
Shawinigan CA,Paper,Investment,"Between $25,000 and $49,999",Complex,20
Shawinigan CA,Paper,Other,"Between $25,000 and $49,999",Complex,20
Shawinigan CA,Paper,Other,"Between $50,000 and $99,999",Simple,20
Shawinigan CA,Netfile,Investment,"Less than $25,000",Complex,20
Shawinigan CA,Netfile,Investment,"Less than $25,000",Simple,20
Shawinigan CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,20
Shawinigan CA,Netfile,Other,"$100,000 and Above",Simple,20
Shawinigan CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,10
Shawinigan CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,10
Shawinigan CA,Netfile,Other,"Between $50,000 and $99,999",Complex,10
Shawinigan CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,10
Shawinigan CA,Efile,No income,"Less than $25,000",Complex,10
Shawinigan CA,Efile,Pension,"$100,000 and Above",Simple,10
Shawinigan CA,Paper,No income,"Less than $25,000",Complex,0
Shawinigan CA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Shawinigan CA,Paper,Investment,"$100,000 and Above",Complex,0
Shawinigan CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Shawinigan CA,Paper,Other,"$100,000 and Above",Complex,0
Shawinigan CA,Paper,Other,"$100,000 and Above",Simple,0
Shawinigan CA,Paper,Pension,"$100,000 and Above",Complex,0
Shawinigan CA,Paper,Pension,"$100,000 and Above",Simple,0
Shawinigan CA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,0
Shawinigan CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Shawinigan CA,Netfile,No income,"Less than $25,000",Complex,0
Shawinigan CA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Shawinigan CA,Netfile,Investment,"$100,000 and Above",Complex,0
Shawinigan CA,Netfile,Other,"$100,000 and Above",Complex,0
Shawinigan CA,Netfile,Pension,"$100,000 and Above",Complex,0
Shawinigan CA,Netfile,Pension,"$100,000 and Above",Simple,0
Shawinigan CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Shawinigan CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Shawinigan CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Shawinigan CA,Efile,Multiple sources of income,"Less than $25,000",Complex,0
Shawinigan CA,Efile,Self-employment,"Less than $25,000",Simple,0
Sherbrooke CMA,Efile,Employment,"Between $25,000 and $49,999",Simple,"13,810"
Sherbrooke CMA,Efile,Employment,"Less than $25,000",Simple,"11,600"
Sherbrooke CMA,Efile,Employment,"Between $50,000 and $99,999",Simple,"9,900"
Sherbrooke CMA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"9,780"
Sherbrooke CMA,Efile,Pension,"Less than $25,000",Simple,"8,300"
Sherbrooke CMA,Efile,Other,"Less than $25,000",Simple,"7,700"
Sherbrooke CMA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"7,150"
Sherbrooke CMA,Netfile,Employment,"Less than $25,000",Simple,"6,730"
Sherbrooke CMA,Efile,Pension,"Between $25,000 and $49,999",Simple,"4,770"
Sherbrooke CMA,Efile,Employment,"Between $50,000 and $99,999",Complex,"4,670"
Sherbrooke CMA,Paper,Pension,"Less than $25,000",Simple,"4,610"
Sherbrooke CMA,Netfile,Pension,"Less than $25,000",Simple,"4,390"
Sherbrooke CMA,Efile,Employment,"Between $25,000 and $49,999",Complex,"3,830"
Sherbrooke CMA,Paper,Employment,"Between $25,000 and $49,999",Simple,"3,610"
Sherbrooke CMA,Paper,Other,"Less than $25,000",Simple,"3,460"
Sherbrooke CMA,Netfile,Other,"Less than $25,000",Simple,"3,460"
Sherbrooke CMA,Paper,Employment,"Less than $25,000",Simple,"3,190"
Sherbrooke CMA,Efile,Pension,"Between $25,000 and $49,999",Complex,"2,940"
Sherbrooke CMA,Netfile,Pension,"Between $25,000 and $49,999",Simple,"2,850"
Sherbrooke CMA,Efile,Self-employment,"Less than $25,000",Complex,"2,590"
Sherbrooke CMA,Efile,Pension,"Less than $25,000",Complex,"2,390"
Sherbrooke CMA,Paper,Pension,"Between $25,000 and $49,999",Simple,"2,260"
Sherbrooke CMA,Paper,Employment,"Between $50,000 and $99,999",Simple,"2,070"
Sherbrooke CMA,Netfile,Employment,"Between $50,000 and $99,999",Complex,"1,920"
Sherbrooke CMA,Efile,Pension,"Between $50,000 and $99,999",Complex,"1,790"
Sherbrooke CMA,Efile,Employment,"$100,000 and Above",Complex,"1,670"
Sherbrooke CMA,Efile,Employment,"Less than $25,000",Complex,"1,600"
Sherbrooke CMA,Efile,No income,"Less than $25,000",Simple,"1,560"
Sherbrooke CMA,Netfile,Employment,"Between $25,000 and $49,999",Complex,"1,550"
Sherbrooke CMA,Efile,Pension,"Between $50,000 and $99,999",Simple,"1,520"
Sherbrooke CMA,Efile,Employment,"$100,000 and Above",Simple,"1,370"
Sherbrooke CMA,Efile,Investment,"Between $50,000 and $99,999",Complex,"1,300"
Sherbrooke CMA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,"1,210"
Sherbrooke CMA,Paper,Pension,"Less than $25,000",Complex,"1,090"
Sherbrooke CMA,Efile,Investment,"$100,000 and Above",Complex,"1,080"
Sherbrooke CMA,Efile,Investment,"Between $25,000 and $49,999",Complex,"1,040"
Sherbrooke CMA,Netfile,Pension,"Between $25,000 and $49,999",Complex,"1,030"
Sherbrooke CMA,Netfile,Pension,"Between $50,000 and $99,999",Simple,"1,020"
Sherbrooke CMA,Efile,Other,"Less than $25,000",Complex,950
Sherbrooke CMA,Efile,Other,"Between $25,000 and $49,999",Simple,940
Sherbrooke CMA,Netfile,Employment,"$100,000 and Above",Simple,870
Sherbrooke CMA,Netfile,Self-employment,"Less than $25,000",Complex,780
Sherbrooke CMA,Paper,Pension,"Between $25,000 and $49,999",Complex,750
Sherbrooke CMA,Netfile,Pension,"Less than $25,000",Complex,720
Sherbrooke CMA,Paper,Employment,"Between $25,000 and $49,999",Complex,700
Sherbrooke CMA,Netfile,Pension,"Between $50,000 and $99,999",Complex,680
Sherbrooke CMA,Netfile,Employment,"Less than $25,000",Complex,670
Sherbrooke CMA,Efile,Investment,"Less than $25,000",Complex,630
Sherbrooke CMA,Netfile,Other,"Between $25,000 and $49,999",Simple,620
Sherbrooke CMA,Netfile,No income,"Less than $25,000",Simple,600
Sherbrooke CMA,Paper,Pension,"Between $50,000 and $99,999",Simple,590
Sherbrooke CMA,Efile,Self-employment,"$100,000 and Above",Complex,590
Sherbrooke CMA,Paper,Employment,"Between $50,000 and $99,999",Complex,580
Sherbrooke CMA,Netfile,Employment,"$100,000 and Above",Complex,570
Sherbrooke CMA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,560
Sherbrooke CMA,Paper,Employment,"Less than $25,000",Complex,520
Sherbrooke CMA,Paper,No income,"Less than $25,000",Simple,480
Sherbrooke CMA,Paper,Self-employment,"Less than $25,000",Complex,450
Sherbrooke CMA,Efile,Other,"Between $25,000 and $49,999",Complex,430
Sherbrooke CMA,Paper,Other,"Less than $25,000",Complex,420
Sherbrooke CMA,Netfile,Other,"Less than $25,000",Complex,410
Sherbrooke CMA,Paper,Pension,"Between $50,000 and $99,999",Complex,360
Sherbrooke CMA,Efile,Pension,"$100,000 and Above",Complex,330
Sherbrooke CMA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,250
Sherbrooke CMA,Efile,Other,"Between $50,000 and $99,999",Simple,230
Sherbrooke CMA,Paper,Other,"Between $25,000 and $49,999",Simple,220
Sherbrooke CMA,Paper,Employment,"$100,000 and Above",Simple,210
Sherbrooke CMA,Efile,Other,"Between $50,000 and $99,999",Complex,200
Sherbrooke CMA,Efile,Investment,"Less than $25,000",Simple,180
Sherbrooke CMA,Netfile,Other,"Between $25,000 and $49,999",Complex,150
Sherbrooke CMA,Efile,Other,"$100,000 and Above",Complex,150
Sherbrooke CMA,Paper,Employment,"$100,000 and Above",Complex,140
Sherbrooke CMA,Netfile,Investment,"Between $25,000 and $49,999",Complex,140
Sherbrooke CMA,Netfile,Other,"Between $50,000 and $99,999",Simple,140
Sherbrooke CMA,Paper,Investment,"Less than $25,000",Complex,130
Sherbrooke CMA,Netfile,Investment,"Between $50,000 and $99,999",Complex,130
Sherbrooke CMA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,120
Sherbrooke CMA,Netfile,Investment,"Less than $25,000",Complex,120
Sherbrooke CMA,Efile,Other,"$100,000 and Above",Simple,100
Sherbrooke CMA,Paper,Investment,"Between $50,000 and $99,999",Complex,90
Sherbrooke CMA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,90
Sherbrooke CMA,Paper,Investment,"Less than $25,000",Simple,80
Sherbrooke CMA,Paper,Investment,"Between $25,000 and $49,999",Complex,80
Sherbrooke CMA,Paper,Other,"Between $25,000 and $49,999",Complex,80
Sherbrooke CMA,Netfile,Investment,"Less than $25,000",Simple,80
Sherbrooke CMA,Paper,Investment,"$100,000 and Above",Complex,70
Sherbrooke CMA,Netfile,Other,"Between $50,000 and $99,999",Complex,70
Sherbrooke CMA,Netfile,Pension,"$100,000 and Above",Complex,70
Sherbrooke CMA,Efile,Pension,"$100,000 and Above",Simple,70
Sherbrooke CMA,Netfile,Investment,"$100,000 and Above",Complex,60
Sherbrooke CMA,Paper,Other,"Between $50,000 and $99,999",Simple,50
Sherbrooke CMA,Paper,Pension,"$100,000 and Above",Complex,50
Sherbrooke CMA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,50
Sherbrooke CMA,Paper,Self-employment,"$100,000 and Above",Complex,50
Sherbrooke CMA,Netfile,Other,"$100,000 and Above",Simple,50
Sherbrooke CMA,Netfile,Self-employment,"$100,000 and Above",Complex,50
Sherbrooke CMA,Paper,Other,"Between $50,000 and $99,999",Complex,40
Sherbrooke CMA,Paper,No income,"Less than $25,000",Complex,30
Sherbrooke CMA,Paper,Other,"$100,000 and Above",Complex,30
Sherbrooke CMA,Netfile,Pension,"$100,000 and Above",Simple,30
Sherbrooke CMA,Efile,No income,"Less than $25,000",Complex,30
Sherbrooke CMA,Efile,Investment,"Between $25,000 and $49,999",Simple,30
Sherbrooke CMA,Paper,Pension,"$100,000 and Above",Simple,20
Sherbrooke CMA,Netfile,Other,"$100,000 and Above",Complex,20
Sherbrooke CMA,Paper,Other,"$100,000 and Above",Simple,10
Sherbrooke CMA,Netfile,No income,"Less than $25,000",Complex,10
Sherbrooke CMA,Efile,Investment,"Between $50,000 and $99,999",Simple,10
Sherbrooke CMA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Sherbrooke CMA,Paper,Investment,"Between $50,000 and $99,999",Simple,0
Sherbrooke CMA,Paper,Investment,"$100,000 and Above",Simple,0
Sherbrooke CMA,Paper,Multiple sources of income,"Less than $25,000",Complex,0
Sherbrooke CMA,Paper,Self-employment,"Less than $25,000",Simple,0
Sherbrooke CMA,Paper,Self-employment,"Between $25,000 and $49,999",Simple,0
Sherbrooke CMA,Netfile,Investment,"Between $25,000 and $49,999",Simple,0
Sherbrooke CMA,Netfile,Investment,"Between $50,000 and $99,999",Simple,0
Sherbrooke CMA,Netfile,Self-employment,"Less than $25,000",Simple,0
Sherbrooke CMA,Efile,Investment,"$100,000 and Above",Simple,0
Sherbrooke CMA,Efile,Multiple sources of income,"Less than $25,000",Complex,0
Sherbrooke CMA,Efile,Self-employment,"Less than $25,000",Simple,0
Sherbrooke CMA,Efile,Self-employment,"$100,000 and Above",Simple,0
Sorel-Tracy CA,Efile,Employment,"Between $25,000 and $49,999",Simple,"2,780"
Sorel-Tracy CA,Efile,Pension,"Less than $25,000",Simple,"2,780"
Sorel-Tracy CA,Efile,Employment,"Between $50,000 and $99,999",Simple,"2,740"
Sorel-Tracy CA,Efile,Employment,"Less than $25,000",Simple,"2,250"
Sorel-Tracy CA,Efile,Pension,"Between $25,000 and $49,999",Simple,"1,880"
Sorel-Tracy CA,Paper,Pension,"Less than $25,000",Simple,"1,860"
Sorel-Tracy CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,"1,820"
Sorel-Tracy CA,Paper,Other,"Less than $25,000",Simple,"1,740"
Sorel-Tracy CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,"1,710"
Sorel-Tracy CA,Netfile,Employment,"Less than $25,000",Simple,"1,320"
Sorel-Tracy CA,Netfile,Pension,"Less than $25,000",Simple,"1,260"
Sorel-Tracy CA,Efile,Other,"Less than $25,000",Simple,"1,230"
Sorel-Tracy CA,Efile,Employment,"Between $50,000 and $99,999",Complex,940
Sorel-Tracy CA,Paper,Employment,"Between $25,000 and $49,999",Simple,930
Sorel-Tracy CA,Netfile,Pension,"Between $25,000 and $49,999",Simple,930
Sorel-Tracy CA,Paper,Pension,"Between $25,000 and $49,999",Simple,910
Sorel-Tracy CA,Netfile,Other,"Less than $25,000",Simple,910
Sorel-Tracy CA,Efile,Pension,"Between $25,000 and $49,999",Complex,840
Sorel-Tracy CA,Paper,Employment,"Between $50,000 and $99,999",Simple,770
Sorel-Tracy CA,Paper,Employment,"Less than $25,000",Simple,760
Sorel-Tracy CA,Efile,Employment,"Between $25,000 and $49,999",Complex,690
Sorel-Tracy CA,Efile,Pension,"Less than $25,000",Complex,640
Sorel-Tracy CA,Efile,Self-employment,"Less than $25,000",Complex,510
Sorel-Tracy CA,Efile,Pension,"Between $50,000 and $99,999",Simple,500
Sorel-Tracy CA,Efile,Pension,"Between $50,000 and $99,999",Complex,460
Sorel-Tracy CA,Efile,Employment,"$100,000 and Above",Simple,440
Sorel-Tracy CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,400
Sorel-Tracy CA,Paper,Pension,"Less than $25,000",Complex,330
Sorel-Tracy CA,Efile,Employment,"Less than $25,000",Complex,290
Sorel-Tracy CA,Efile,Employment,"$100,000 and Above",Complex,290
Sorel-Tracy CA,Netfile,Employment,"Between $25,000 and $49,999",Complex,260
Sorel-Tracy CA,Efile,No income,"Less than $25,000",Simple,260
Sorel-Tracy CA,Paper,Pension,"Between $25,000 and $49,999",Complex,250
Sorel-Tracy CA,Netfile,Employment,"$100,000 and Above",Simple,250
Sorel-Tracy CA,Netfile,Pension,"Between $25,000 and $49,999",Complex,250
Sorel-Tracy CA,Netfile,Pension,"Between $50,000 and $99,999",Simple,230
Sorel-Tracy CA,Efile,Other,"Between $25,000 and $49,999",Simple,220
Sorel-Tracy CA,Efile,Self-employment,"Between $25,000 and $49,999",Complex,220
Sorel-Tracy CA,Netfile,Pension,"Less than $25,000",Complex,180
Sorel-Tracy CA,Efile,Investment,"Between $50,000 and $99,999",Complex,180
Sorel-Tracy CA,Paper,No income,"Less than $25,000",Simple,170
Sorel-Tracy CA,Paper,Employment,"Between $50,000 and $99,999",Complex,160
Sorel-Tracy CA,Efile,Other,"Less than $25,000",Complex,160
Sorel-Tracy CA,Paper,Employment,"Between $25,000 and $49,999",Complex,150
Sorel-Tracy CA,Netfile,Pension,"Between $50,000 and $99,999",Complex,150
Sorel-Tracy CA,Efile,Investment,"Less than $25,000",Complex,150
Sorel-Tracy CA,Efile,Investment,"$100,000 and Above",Complex,150
Sorel-Tracy CA,Paper,Pension,"Between $50,000 and $99,999",Simple,140
Sorel-Tracy CA,Efile,Investment,"Between $25,000 and $49,999",Complex,140
Sorel-Tracy CA,Paper,Other,"Less than $25,000",Complex,120
Sorel-Tracy CA,Netfile,Other,"Between $25,000 and $49,999",Simple,120
Sorel-Tracy CA,Netfile,No income,"Less than $25,000",Simple,110
Sorel-Tracy CA,Netfile,Self-employment,"Less than $25,000",Complex,110
Sorel-Tracy CA,Paper,Employment,"$100,000 and Above",Simple,100
Sorel-Tracy CA,Netfile,Employment,"Less than $25,000",Complex,100
Sorel-Tracy CA,Netfile,Employment,"$100,000 and Above",Complex,100
Sorel-Tracy CA,Paper,Employment,"Less than $25,000",Complex,90
Sorel-Tracy CA,Netfile,Other,"Less than $25,000",Complex,90
Sorel-Tracy CA,Efile,Self-employment,"Between $50,000 and $99,999",Complex,90
Sorel-Tracy CA,Paper,Pension,"Between $50,000 and $99,999",Complex,80
Sorel-Tracy CA,Paper,Self-employment,"Less than $25,000",Complex,80
Sorel-Tracy CA,Efile,Other,"Between $25,000 and $49,999",Complex,80
Sorel-Tracy CA,Efile,Other,"Between $50,000 and $99,999",Simple,70
Sorel-Tracy CA,Efile,Self-employment,"$100,000 and Above",Complex,70
Sorel-Tracy CA,Paper,Other,"Between $25,000 and $49,999",Simple,60
Sorel-Tracy CA,Netfile,Other,"Between $25,000 and $49,999",Complex,40
Sorel-Tracy CA,Netfile,Other,"Between $50,000 and $99,999",Simple,40
Sorel-Tracy CA,Efile,Investment,"Less than $25,000",Simple,40
Sorel-Tracy CA,Efile,Other,"Between $50,000 and $99,999",Complex,40
Sorel-Tracy CA,Efile,Other,"$100,000 and Above",Complex,40
Sorel-Tracy CA,Efile,Pension,"$100,000 and Above",Complex,40
Sorel-Tracy CA,Paper,Employment,"$100,000 and Above",Complex,30
Sorel-Tracy CA,Paper,Investment,"Less than $25,000",Complex,30
Sorel-Tracy CA,Paper,Investment,"Less than $25,000",Simple,30
Sorel-Tracy CA,Netfile,Investment,"Less than $25,000",Simple,30
Sorel-Tracy CA,Netfile,Self-employment,"Between $25,000 and $49,999",Complex,30
Sorel-Tracy CA,Efile,Other,"$100,000 and Above",Simple,30
Sorel-Tracy CA,Paper,Self-employment,"Between $25,000 and $49,999",Complex,20
Sorel-Tracy CA,Netfile,Investment,"Less than $25,000",Complex,20
Sorel-Tracy CA,Netfile,Investment,"Between $25,000 and $49,999",Complex,20
Sorel-Tracy CA,Efile,Pension,"$100,000 and Above",Simple,20
Sorel-Tracy CA,Paper,No income,"Less than $25,000",Complex,10
Sorel-Tracy CA,Paper,Investment,"Between $25,000 and $49,999",Complex,10
Sorel-Tracy CA,Paper,Investment,"Between $50,000 and $99,999",Complex,10
Sorel-Tracy CA,Paper,Other,"Between $25,000 and $49,999",Complex,10
Sorel-Tracy CA,Paper,Other,"Between $50,000 and $99,999",Simple,10
Sorel-Tracy CA,Netfile,Investment,"Between $50,000 and $99,999",Complex,10
Sorel-Tracy CA,Netfile,Pension,"$100,000 and Above",Complex,10
Sorel-Tracy CA,Efile,No income,"Less than $25,000",Complex,10
Sorel-Tracy CA,Paper,Investment,"Between $25,000 and $49,999",Simple,0
Sorel-Tracy CA,Paper,Investment,"$100,000 and Above",Complex,0
Sorel-Tracy CA,Paper,Other,"Between $50,000 and $99,999",Complex,0
Sorel-Tracy CA,Paper,Other,"$100,000 and Above",Complex,0
Sorel-Tracy CA,Paper,Other,"$100,000 and Above",Simple,0
Sorel-Tracy CA,Paper,Pension,"$100,000 and Above",Complex,0
Sorel-Tracy CA,Paper,Pension,"$100,000 and Above",Simple,0
Sorel-Tracy CA,Paper,Self-employment,"Between $50,000 and $99,999",Complex,0
Sorel-Tracy CA,Paper,Self-employment,"$100,000 and Above",Complex,0
Sorel-Tracy CA,Netfile,No income,"Less than $25,000",Complex,0
Sorel-Tracy CA,Netfile,Investment,"$100,000 and Above",Complex,0
Sorel-Tracy CA,Netfile,Other,"Between $50,000 and $99,999",Complex,0
Sorel-Tracy CA,Netfile,Other,"$100,000 and Above",Complex,0
Sorel-Tracy CA,Netfile,Other,"$100,000 and Above",Simple,0
Sorel-Tracy CA,Netfile,Pension,"$100,000 and Above",Simple,0
Sorel-Tracy CA,Netfile,Self-employment,"Between $50,000 and $99,999",Complex,0
Sorel-Tracy CA,Netfile,Self-employment,"$100,000 and Above",Complex,0
Sorel-Tracy CA,Efile,Investment,"Between $25,000 and $49,999",Simple,0
Sorel-Tracy CA,Efile,Investment,"Between $50,000 and $99,999",Simple,0
Sorel-Tracy CA,Efile,Self-employment,"Less than $25,000",Simple,0
Squamish CA,Netfile,Employment,"Between $50,000 and $99,999",Simple,960
Squamish CA,Efile,Employment,"Between $50,000 and $99,999",Simple,960
Squamish CA,Efile,Employment,"Between $25,000 and $49,999",Simple,940
Squamish CA,Efile,Employment,"Less than $25,000",Simple,850
Squamish CA,Netfile,Employment,"Between $25,000 and $49,999",Simple,790
Squamish CA,Netfile,Employment,"Less than $25,000",Simple,630
Squamish CA,Efile,Employment,"Between $50,000 and $99,999",Complex,580
Squamish CA,Efile,Other,"Less than $25,000",Simple,410
Squamish CA,Efile,Employment,"Between $25,000 and $49,999",Complex,320
Squamish CA,Paper,Employment,"Less than $25,000",Simple,300
Squamish CA,Efile,Pension,"Less than $25,000",Simple,300
Squamish CA,Efile,Employment,"$100,000 and Above",Complex,290
Squamish CA,Netfile,Employment,"Between $50,000 and $99,999",Complex,270
